Country_or_region,Highest_point,Maximum_elevation,Lowest_point,Minimum_elevation,Elevation_span
Monaco,along Chemin des Révoires on Mont Agel,161 m528 ft,Mediterranean Sea,sea level,161 m528 ft
Mongolia,Khüiten Peak,"4374 m14,350 ft",Hoh Nuur,"518 m1,699 ft","3856 m12,651 ft"
Montenegro,Zla Kolata,"2534 m8,314 ft",Adriatic Sea,sea level,"2534 m8,314 ft"
Montserrat,Chances Peak,"915 m3,002 ft",Caribbean Sea,sea level,"915 m3,002 ft"
Morocco[ae],Jbel Toubkal,"4167 m13,671 ft",Sebkha Tah,−55 m−180 ft,"4222 m13,852 ft"
Mozambique,Monte Binga,"2436 m7,992 ft",Mozambique Channel,sea level,"2436 m7,992 ft"
Myanmar,Hkakabo Razi,"5881 m19,295 ft",Indian Ocean,sea level,"5881 m19,295 ft"
Namibia,Königstein,"2573 m8,442 ft",South Atlantic Ocean,sea level,"2573 m8,442 ft"
Nauru,Command Ridge,65 m213 ft,South Pacific Ocean,sea level,65 m213 ft
Nepal,Mount Everest[i][af],"8849 m29,032 ft",Mukhiyapatti Musharniya,59 m194 ft,"8789 m28,835 ft"
Netherlands,Mount Scenery[ag] on Saba,"887 m2,910 ft","Vergeten Plek, in the Zuidplaspolder near Waddinxveen",−7 m−22 ft,"894 m2,932 ft"
New Caledonia,Mont Panié,"1628 m5,341 ft",Coral Sea,sea level,"1628 m5,341 ft"
New Zealand,Aoraki / Mount Cook[ah] in the South Island,"3724 m12,218 ft","Unnamed location near Momona, Taieri Plains, Otago",−2 m−7 ft,"3726 m12,224 ft"
Nicaragua,Mogotón,"2107 m6,913 ft",North Pacific OceanCaribbean Sea,sea level,"2107 m6,913 ft"
Niger,Mont Idoukal-n-Taghès,"2022 m6,634 ft",Niger River,200 m656 ft,"1822 m5,978 ft"
Nigeria,Chappal Waddi,"2419 m7,936 ft",Unnamed location on Lagos Island,−0.2 m−0.7 ft,"2419 m7,937 ft"
Niue,Unnamed location near Mutalau on Niue,68 m223 ft,South Pacific Ocean,sea level,68 m223 ft
Norfolk Island,Mount Bates,"319 m1,047 ft",South Pacific Ocean,sea level,"319 m1,047 ft"
Northern Mariana Islands,Mount Agrihan on Agrihan,"965 m3,166 ft",North Pacific Ocean,sea level,"965 m3,166 ft"
Norway,Galdhøpiggen,"2469 m8,100 ft",Norwegian Sea,sea level,"2469 m8,100 ft"
Oman,Jabal Shams,"3009 m9,872 ft",Arabian Sea,sea level,"3009 m9,872 ft"
Pakistan,K2[ai],"8611 m28,251 ft",Arabian Sea,sea level,"8611 m28,251 ft"
Palau,Mount Ngerchelchuus on Babeldaob,242 m794 ft,North Pacific Ocean,sea level,242 m794 ft
Palestine,Mount Nabi Yunis,"1030 m3,379 ft",Dead Sea[aa],"−428 m−1,404 ft","1444 m4,738 ft"
Panama,Volcán Barú,"3475 m11,401 ft",North Pacific OceanCaribbean Sea,sea level,"3475 m11,401 ft"
Papua New Guinea,Mount Wilhelm,"4509 m14,793 ft",South Pacific Ocean,sea level,"4509 m14,793 ft"
Paraguay,Cerro Peró,"842 m2,762 ft",Paraguay River,46 m151 ft,"796 m2,612 ft"
Peru,Huascarán[aj],"6768 m22,205 ft",Bayóvar Depression,−34 m−112 ft,"6802 m22,316 ft"
Philippines,Mount Apo on Mindanao,"2954 m9,692 ft",Philippine SeaSouth China Sea,sea level,"2954 m9,692 ft"
Pitcairn Islands,Pawala Valley Ridge,"347 m1,138 ft",South Pacific Ocean,sea level,"347 m1,138 ft"
Poland,Northwestern peak of Rysy,"2499 m8,199 ft",Raczki Elbląskie[15],−2 m−6 ft,"2501 m8,205 ft"
Portugal,Montanha do Pico on Pico Island[ak],"2351 m7,713 ft",North Atlantic Ocean,sea level,"2351 m7,713 ft"
Puerto Rico,Cerro de Punta,"1338 m4,390 ft",Caribbean Sea,sea level,"1338 m4,390 ft"
Qatar,Qurayn Abu al Bawl,103 m338 ft,Persian Gulf,sea level,103 m338 ft
Réunion,Piton des Neiges,"3069 m10,069 ft",Indian Ocean,sea level,"3069 m10,069 ft"
Romania,Moldoveanu,"2544 m8,346 ft",Black Sea,sea level,"2544 m8,346 ft"
Russia,Mount Elbrus[al],"5642 m18,510 ft",Caspian Sea[am],−28 m−92 ft,"5670 m18,602 ft"
Rwanda,Mount Karisimbi,"4507 m14,787 ft",Ruzizi River,"950 m3,117 ft","3557 m11,670 ft"
Sahrawi Arab Democratic Republic[ae],Tikhzoukhane,"605 m1,985 ft",Sebjet Tah,−55 m−180 ft,"660 m2,165 ft"
Saint Barthélemy,Morne du Vitet,286 m938 ft,Caribbean Sea,sea level,286 m938 ft
"Saint Helena, Ascension and Tristan da Cunha",Queen Mary's Peak on Tristan da Cunha,"2060 m6,759 ft",South Atlantic Ocean,sea level,"2060 m6,759 ft"
Saint Kitts and Nevis,Mount Liamuiga on Saint Kitts,"1156 m3,793 ft",Caribbean Sea,sea level,"1156 m3,793 ft"
Saint Lucia,Mount Gimie,"950 m3,117 ft",Caribbean Sea,sea level,"950 m3,117 ft"
Saint Martin,Pic Paradis on Saint Martin,"424 m1,391 ft",Caribbean Sea,sea level,"424 m1,391 ft"
Saint Pierre and Miquelon,Morne de la Grande Montagne on Miquelon,240 m787 ft,North Atlantic Ocean,sea level,240 m787 ft
Saint Vincent and the Grenadines,La Soufrière,"1234 m4,049 ft",Caribbean Sea,sea level,"1234 m4,049 ft"
Samoa,Mauga Silisili on Savai'i,"1857 m6,093 ft",South Pacific Ocean,sea level,"1857 m6,093 ft"
San Marino,Monte Titano,"739 m2,425 ft",Ausa River,55 m180 ft,"684 m2,244 ft"
São Tomé and Príncipe,Pico de São Tomé on São Tomé Island,"2024 m6,640 ft",Gulf of Guinea,sea level,"2024 m6,640 ft"
Saudi Arabia,Jabal Sawda (official) or Jabal Farwa' (most recent survey),"3000 m9,843 ft",Jaub Depression[16],-17.5 m,"3000 m9,843 ft"
